Location,Chronic Care Location,Health Facility,HIV,Login Location,Lower Neno,Outreach HIV,Static HIV,Transfer Location,Upper Neno,Visit Location
Binje Outreach Clinic,,,,TRUE,,,,,,TRUE
Chifunga HC,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
Dambe Clinic,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE
Felemu Outreach Clinic,,,,TRUE,,,,,,TRUE
Golden Outreach Clinic,,,,TRUE,,TRUE,,,TRUE,TRUE
Kasamba Outreach Clinic,,,,TRUE,,,,,,TRUE
Ligowe HC,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Lisungwi Community Hospital,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
Lisungwi inward patients,,,TRUE,,TRUE,,TRUE,,,
Luwani Prison,,,TRUE,,,TRUE,,,,
Luwani RHC,,,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Magaleta HC,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Magaleta Outreach Clinic,,,TRUE,,,TRUE,,,,
Matandani Rural Health Center,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Matope HC,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
Midzemba HC,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE
Neno District Hospital,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Neno Mission HC,,,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Neno Parish Outreach Clinic,,TRUE,TRUE,,,TRUE,,,,
Nkhula Falls RHC,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
Nsambe HC,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE
Ntaja Outreach Clinic,,,,TRUE,,,,,TRUE,TRUE
Tedzani Clinic,,,,TRUE,,,,,TRUE,TRUE
Zalewa HC,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
Zalewa Outreach Clinic,,,TRUE,,TRUE,TRUE,,,,
